Timestamp	How old are you? Please write a number	What is your gender?	How often do you play video games (on average)?	If you are a student, are your studies related to videogames?	If you have a job, do you work in the videogame industry?	I felt my perception of time change during the experience	I felt like everything slowed down	I felt my sense of self become somehow smaller	I experienced a sense of oneness with all things	I felt humbled by the experience	I felt closely connected to humanity	I experienced something greater than myself	I had chills or goosebumps	I struggled to take in all that I was experiencing at once	I felt challenged to mentally process what I was experiencing	I think the experience had a positive impact on me	I felt fear or discomfort	I had a sense of peace of mind	I felt admiration towards the game developers	After the experience, I wanted to be a better person	Are there any other comments you wish to add about your feelings during or after the experience?	What is the title of the game?	What genre does the game belong to? Choose all that apply	How would you rate the graphics?	How would you describe the graphics of the game? Choose all that apply.	How would you rate the story (if not applicable skip this question)?	How would you describe the story of the game? Choose all that apply. (If the game did not have a story, select "not applicable")	How would you rate the soundtrack?	How would you describe the soundtrack of the game? Choose all that apply	How did you like playing the main character (if applicable)?	Which of these items apply to your experience with the main character? You can select as many items as you want. (If the game did not involve controlling a character, select "not applicable")	In what place(s) was the game set? Choose all the locations that you can remember from the game	Which of these characteristics apply to the game? Choose all that apply	When the experience occurred, were you playing using a virtual reality headset?	How would you describe the VR experience (if you replied "no" to the previous question, select "not applicable")? Choose all that apply	Is there anything else you would like to tell me about the game that was not covered by the previous questions?
3/23/2022 16:08:55	23	Male	more than 6 hours per week	No	No	4	4	1	1	2	1	2	5	4	3	4	2	1	5	3		Hollow Knight	action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania)	4	simple, Cartoon-like	4	confusing, captivating, rich in subplots, complex, Subtle, Dark	5	on spot, perfect for the game, captured my attention while playing	3	The character did not have many character treats, it is a simple metroidvania main character.	woods, forests, insect world, underground	the game was challenging, sometimes too much, the game was addictive, the game was fast-paced and exciting, the game kept me focused and absorbed	No	not applicable	
3/27/2022 19:06:53	23	Male	more than 6 hours per week	Yes	No	4	5	3	4	5	2	5	5	4	5	5	1	5	5	3	It is a very distinctive moment, only the fewest of games can create and only if you resonate with it at another level	Life is Strange	adventure (eg. text or graphic adventures, visual novels...)	5	visually stunning, distinct, unique	5	complex, includes plot-twists, rich in subplots	5	chilling, on spot, perfect for the game	5	I identified myself with the main character, to a certain extent, I felt like my choices could affect the course of the game	sea, ocean, modern city, modern village	the game was addictive, the game was slow-paced and relaxing, the game kept me focused and absorbed	No	not applicable	
3/30/2022 12:07:58	24	Male	2-6 hours per week	Yes	No	3	3	4	5	5	4	4	5	4	4	5	4	5	5	4		Red Dead Redemption 2	adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning, realistic	5	rich in subplots, captivating, complex, includes plot-twists	5	on spot, perfect for the game, chilling, captured my attention while playing	5	The character was customizable, I felt like my choices could affect the course of the game, I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent, I felt represented by the main character	old west	the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
3/30/2022 18:46:28	23	Female	2-6 hours per week	No	No	5	5	4	3	4	1	4	5	4	4	3	5	1	5	3		Red Dead Redemption 2	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning, realistic	4	captivating, rich in subplots, includes plot-twists, complex	5	pleasant, on spot, perfect for the game, captured my attention while playing	5	I identified myself with the main character, to a certain extent, I felt like my choices could affect the course of the game	old west	the game kept me focused and absorbed, the game was slow-paced and relaxing	No	not applicable	
3/30/2022 20:47:24	23	Male	less than 1 hour per week	No	No	4	4	4	3	4	2	4	5	4	4	4	1	3	5	2		Metal Gear Solid 3: Snake Eater	action (eg. platform, survival, stealth, shooter, fighting...)	4	realistic	5	captivating, complex, includes plot-twists	5	captured my attention while playing, chilling, on spot, perfect for the game, pleasant	5	I identified myself with the main character, to a certain extent	woods, forests, military complex	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/8/2022 14:57:44	25	Male	more than 6 hours per week	No	No	4	4	5	2	4	2	4	5	5	2	5	1	4	5	1	Siofra River elevator.	Elden Ring	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning	3	complex, rich in subplots	5	chilling, pleasant, on spot, perfect for the game, captured my attention while playing	5	The character was simple, I identified myself with the main character, to a certain extent, The character was customizable	medieval towns, fantasy world, post-apocalyptic world, woods, forests	the game was addictive, the game kept me focused and absorbed, the game was fast-paced and exciting, the game was challenging at the right point, the game was challenging, sometimes too much	No	not applicable	
4/8/2022 19:43:16	30	Prefer not to say	more than 6 hours per week	No	No	4	3	2	2	4	2	4	4	2	1	5	1	4	5	2		Return of the Obra Dinn	simulation (eg. life simulation, vehicle simulation...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), adventure (eg. text or graphic adventures, visual novels...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	5	visually stunning, simple	5	rich in subplots, complex, confusing, includes plot-twists, captivating	4	pleasant, on spot, perfect for the game	5	The character was simple	sea, ocean	the game kept me focused and absorbed, the game was addictive, the game was slow-paced and relaxing, the game was challenging at the right point	No	not applicable	
4/8/2022 21:03:19	17	Prefer not to say	1-2 hours per week	No	No	5	2	4	3	4	2	4	4	2	2	4	2	3	4	2		Ōkami	action-adventure (eg. metroidvania)	4	visually stunning	4	confusing	5	captured my attention while playing, pleasant, on spot, perfect for the game	5	The character was simple	sea, ocean, medieval towns, sky, woods, forests, fantasy world	the game kept me focused and absorbed, the game was addictive, the game was very easy	No	not applicable	
4/10/2022 14:02:49	22	Male	more than 6 hours per week	No	No	4	4	4	2	2	2	4	2	2	2	4	2	4	5	2		God of War(2018)	action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...)	5	realistic, visually stunning	5	rich in subplots, simple and easy to follow, captivating, includes plot-twists	4	pleasant, on spot, perfect for the game	5	I identified myself with the main character, to a certain extent	woods, forests, fantasy world	the game was addictive, the game was fast-paced and exciting, the game was challenging, sometimes too much, the game kept me focused and absorbed	No	not applicable	
4/10/2022 14:44:02	26	Non-binary	more than 6 hours per week	No	No	3	2	2	4	3	4	3	1	4	4	5	2	4	5	3		Kirby: the Forgotten Land	action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning, simple, cute, colorful, vivid	4	simple and easy to follow	3	annoying, pleasant, repeated too often	5	I felt represented by the main character, The character was simple, I identified myself with the main character, to a certain extent	fantasy world, sea, ocean, woods, forests, post-apocalyptic world	the game was very easy, the game was challenging at the right point	No	not applicable	I highly recommend playing Kirby: the Forgotten Lands, because it is simply adorable
